period,ticker,type,region,avg_monthly_flow_M,total_flow_M,avg_ogr_pct,outflow_months,total_months,outflow_rate_pct,beta_all,beta_negative,beta_positive,r_squared,p_value
Pre-COVID,CRBN,ESG,Global,5.975323873076929,77.67921035000008,1.3628250156040755,2,13,15.384615384615385,-0.037,0.257,0.265,0.0015,0.7296
Pre-COVID,DSI,ESG,US,27.806643130769235,361.48636070000003,1.774339057571814,0,13,0.0,0.011,0.167,0.011,0.0007,0.809
Pre-COVID,EAGG,ESG,Fixed Income,12.106481384615387,157.38425800000002,11.053218107860241,0,13,0.0,0.397,2.14,-0.143,0.005,0.5263
Pre-COVID,ESGD,ESG,Developed exUS,80.2982100769231,1043.8767310000003,7.734547133679224,0,13,0.0,0.024,-0.258,-0.038,0.0007,0.8137
Pre-COVID,ESGE,ESG,Emerging,126.80266712307693,1648.4346726,15.166230299409328,0,13,0.0,-0.097,-0.611,0.579,0.0009,0.7861
Pre-COVID,ESGU,ESG,US,262.9981797192308,3418.97633635,38.85636066005193,0,13,0.0,0.306,-0.554,-0.98,0.0018,0.7048
Pre-COVID,HYXF,ESG,Fixed Income,1.2031886269230765,15.641452149999996,8.72902155580353,3,13,23.076923076923077,-1.575,-2.635,-1.991,0.0873,0.0067
Pre-COVID,SUSA,ESG,US,17.825585838461546,231.7326159000001,1.784387973219351,3,13,23.076923076923077,0.094,0.295,0.78,0.0058,0.4934
Pre-COVID,SUSB,ESG,Fixed Income,15.560908576923072,202.29181149999994,11.831799732314293,0,13,0.0,1.623,3.578,-0.94,0.0463,0.0507
Pre-COVID,SUSC,ESG,Fixed Income,7.596549973076924,98.75514965000002,14.205821447886436,2,13,15.384615384615385,2.05,1.343,5.025,0.0933,0.005
Pre-COVID,SUSL,ESG,US,65.93830952777775,593.4447857499997,4.890218687288345,1,9,11.11111111111111,-0.129,0.101,-0.354,0.0045,0.557
Pre-COVID,ACWI,Conventional,Global,-131.53167443076896,-1709.9117675999967,-1.208034706124772,6,13,46.15384615384615,-0.129,-0.849,0.172,0.023,0.1716
Pre-COVID,AGG,Conventional,Fixed Income,1049.5255171461527,13643.831722899986,1.6005240078695013,0,13,0.0,0.263,0.128,0.418,0.0644,0.0206
Pre-COVID,IEFA,Conventional,Developed exUS,1172.9494360307717,15248.342668400031,1.8143924970606937,2,13,15.384615384615385,-0.011,0.028,-0.106,0.002,0.6883
Pre-COVID,IEMG,Conventional,Emerging,74.9925718615388,974.9034342000045,0.13670983629174369,4,13,30.76923076923077,0.084,0.184,0.054,0.0556,0.0319
Pre-COVID,IVV,Conventional,US,1830.5449249346173,23797.084024150023,1.0214296295726741,3,13,23.076923076923077,0.025,0.186,-0.063,0.0057,0.4984
COVID Crisis,CRBN,ESG,Global,2.055635199999982,20.556351999999823,0.42487053502091093,2,10,20.0,-0.037,0.257,0.265,0.0015,0.7296
COVID Crisis,DMXF,ESG,Developed exUS,7.25363445,43.521806700000006,38.6022944539744,0,6,0.0,-0.361,2.119,-0.206,0.0073,0.4945
COVID Crisis,DSI,ESG,US,32.72287702000005,327.2287702000005,1.5980653118366446,0,10,0.0,0.011,0.167,0.011,0.0007,0.809
COVID Crisis,EAGG,ESG,Fixed Income,51.43600638000001,514.3600638,13.377892392539307,0,10,0.0,0.397,2.14,-0.143,0.005,0.5263
COVID Crisis,EMXF,ESG,Emerging,0.0,0.0,8.335512753546795e-16,1,2,50.0,-0.303,0.042,-0.235,0.0119,0.3992
COVID Crisis,ESGD,ESG,Developed exUS,174.21905453,1742.1905453,7.886834368205167,0,10,0.0,0.024,-0.258,-0.038,0.0007,0.8137
COVID Crisis,ESGE,ESG,Emerging,282.3099121100001,2823.099121100001,9.987656451084653,1,10,10.0,-0.097,-0.611,0.579,0.0009,0.7861
COVID Crisis,ESGU,ESG,US,733.6699805150004,7336.699805150003,13.819631046777664,1,10,10.0,0.306,-0.554,-0.98,0.0018,0.7048
COVID Crisis,EUSB,ESG,Fixed Income,20.116336516666664,120.69801909999997,43.91359456492799,1,6,16.666666666666664,-1.098,6.083,-2.859,0.0061,0.5341
COVID Crisis,HYXF,ESG,Fixed Income,5.007513660000002,50.075136600000015,12.601315494166402,1,10,10.0,-1.575,-2.635,-1.991,0.0873,0.0067
COVID Crisis,LDEM,ESG,Emerging,8.49736700999999,84.97367009999991,1.30901311275381,1,10,10.0,0.17,-0.538,0.188,0.0056,0.5376
COVID Crisis,SUSA,ESG,US,62.16816554000005,621.6816554000004,4.063883777000484,2,10,20.0,0.094,0.295,0.78,0.0058,0.4934
COVID Crisis,SUSB,ESG,Fixed Income,23.483056400000002,234.83056400000004,6.548410459734494,1,10,10.0,1.623,3.578,-0.94,0.0463,0.0507
COVID Crisis,SUSC,ESG,Fixed Income,58.30876042000002,583.0876042000002,22.444904935046775,1,10,10.0,2.05,1.343,5.025,0.0933,0.005
COVID Crisis,SUSL,ESG,US,46.189430919999936,461.8943091999993,2.474052814026841,4,10,40.0,-0.129,0.101,-0.354,0.0045,0.557
COVID Crisis,USXF,ESG,US,11.379361133333333,68.2761668,79.62502417193699,0,6,0.0,-0.67,4.561,0.356,0.0059,0.5384
COVID Crisis,ACWI,Conventional,Global,172.7574234800004,1727.574234800004,1.9616904085237414,2,10,20.0,-0.129,-0.849,0.172,0.023,0.1716
COVID Crisis,AGG,Conventional,Fixed Income,788.7667248899994,7887.667248899994,1.045985664529333,2,10,20.0,0.263,0.128,0.418,0.0644,0.0206
COVID Crisis,IEFA,Conventional,Developed exUS,209.6031215399994,2096.031215399994,0.23176254096598897,3,10,30.0,-0.011,0.028,-0.106,0.002,0.6883
COVID Crisis,IEMG,Conventional,Emerging,-18.80966297999878,-188.0966297999878,-0.2429488861106853,5,10,50.0,0.084,0.184,0.054,0.0556,0.0319
COVID Crisis,IVV,Conventional,US,-308.15100234500125,-3081.5100234500123,-0.1619205053542903,4,10,40.0,0.025,0.186,-0.063,0.0057,0.4984
Recovery,CRBN,ESG,Global,48.602087041666636,583.2250444999996,5.418516211565789,2,12,16.666666666666664,-0.037,0.257,0.265,0.0015,0.7296
Recovery,DMXF,ESG,Developed exUS,20.628470466666666,247.54164559999998,14.659967367605814,0,12,0.0,-0.361,2.119,-0.206,0.0073,0.4945
Recovery,DSI,ESG,US,60.2851282166667,723.4215386000004,1.7964492990889158,2,12,16.666666666666664,0.011,0.167,0.011,0.0007,0.809
Recovery,EAGG,ESG,Fixed Income,88.24021294999999,1058.8825553999998,8.228763581233299,0,12,0.0,0.397,2.14,-0.143,0.005,0.5263
Recovery,EMXF,ESG,Emerging,1.4352673666666664,17.223208399999997,9.3498198253804,2,12,16.666666666666664,-0.303,0.042,-0.235,0.0119,0.3992
Recovery,ESGD,ESG,Developed exUS,268.17402224166653,3218.088266899999,4.865653529385822,0,12,0.0,0.024,-0.258,-0.038,0.0007,0.8137
Recovery,ESGE,ESG,Emerging,41.658989583333174,499.9078749999981,0.6724348421300131,5,12,41.66666666666667,-0.097,-0.611,0.579,0.0009,0.7861
Recovery,ESGU,ESG,US,681.8752235791669,8182.502682950003,3.7751070063060173,3,12,25.0,0.306,-0.554,-0.98,0.0018,0.7048
Recovery,EUSB,ESG,Fixed Income,41.38504556666667,496.6205468,13.592545639023138,0,12,0.0,-1.098,6.083,-2.859,0.0061,0.5341
Recovery,HYXF,ESG,Fixed Income,5.624452366666668,67.49342840000003,5.492443405322855,0,12,0.0,-1.575,-2.635,-1.991,0.0873,0.0067
Recovery,LCTD,ESG,US,-2.213454393750027,-17.707635150000215,-0.3657430525297044,3,8,37.5,-0.013,-0.631,-0.052,0.0001,0.9504
Recovery,LDEM,ESG,Emerging,-61.65517406666667,-739.8620888,-7.506046688439509,4,12,33.33333333333333,0.17,-0.538,0.188,0.0056,0.5376
Recovery,SUSA,ESG,US,139.29582619999994,1671.5499143999991,4.339874004627894,3,12,25.0,0.094,0.295,0.78,0.0058,0.4934
Recovery,SUSB,ESG,Fixed Income,47.37969572916666,568.55634875,6.728438682645679,2,12,16.666666666666664,1.623,3.578,-0.94,0.0463,0.0507
Recovery,SUSC,ESG,Fixed Income,17.640644666666667,211.687736,2.3104569597732616,2,12,16.666666666666664,2.05,1.343,5.025,0.0933,0.005
Recovery,SUSL,ESG,US,46.98678790416666,563.8414548499999,1.4289198388695237,2,12,16.666666666666664,-0.129,0.101,-0.354,0.0045,0.557
Recovery,USXF,ESG,US,36.838616975,442.06340370000004,16.41225693020322,1,12,8.333333333333332,-0.67,4.561,0.356,0.0059,0.5384
Recovery,ACWI,Conventional,Global,78.63703401666609,943.6444081999931,0.5557299398341504,4,12,33.33333333333333,-0.129,-0.849,0.172,0.023,0.1716
Recovery,AGG,Conventional,Fixed Income,825.67235875,9908.068305,0.9453961739878037,3,12,25.0,0.263,0.128,0.418,0.0644,0.0206
Recovery,IEFA,Conventional,Developed exUS,1153.1684984333306,13838.021981199967,1.202646155537585,2,12,16.666666666666664,-0.011,0.028,-0.106,0.002,0.6883
Recovery,IEMG,Conventional,Emerging,923.5999026500028,11083.198831800033,1.2337186760820729,0,12,0.0,0.084,0.184,0.054,0.0556,0.0319
Recovery,IVV,Conventional,US,2390.4822119624964,28685.78654354996,0.8781798191755686,3,12,25.0,0.025,0.186,-0.063,0.0057,0.4984
Rate Hike,CRBN,ESG,Global,-21.094410270833315,-253.13292324999975,-2.0211741600085693,5,12,41.66666666666667,-0.037,0.257,0.265,0.0015,0.7296
Rate Hike,DMXF,ESG,Developed exUS,12.660886875,151.9306425,3.9991459794973006,0,12,0.0,-0.361,2.119,-0.206,0.0073,0.4945
Rate Hike,DSI,ESG,US,31.089080420833426,373.06896505000117,0.8779096624948399,4,12,33.33333333333333,0.011,0.167,0.011,0.0007,0.809
Rate Hike,EAGG,ESG,Fixed Income,65.87826748333332,790.5392097999998,3.4255193345033073,1,12,8.333333333333332,0.397,2.14,-0.143,0.005,0.5263
Rate Hike,EMXF,ESG,Emerging,1.8452848916666664,22.143418699999994,5.793138448576684,0,12,0.0,-0.303,0.042,-0.235,0.0119,0.3992
Rate Hike,ERET,ESG,US,0.0,0.0,0.0,0,1,0.0,0.0,-0.0,0.0,0.0052,0.6724
Rate Hike,ESGD,ESG,Developed exUS,36.37594135833319,436.51129629999826,0.47042627159530015,4,12,33.33333333333333,0.024,-0.258,-0.038,0.0007,0.8137
Rate Hike,ESGE,ESG,Emerging,-80.73562562500017,-968.827507500002,-1.6907195411797489,6,12,50.0,-0.097,-0.611,0.579,0.0009,0.7861
Rate Hike,ESGU,ESG,US,-39.38749864583429,-472.6499837500115,-0.3105745956269278,5,12,41.66666666666667,0.306,-0.554,-0.98,0.0018,0.7048
Rate Hike,EUSB,ESG,Fixed Income,21.340777883333356,256.08933460000026,3.407439293296493,3,12,25.0,-1.098,6.083,-2.859,0.0061,0.5341
Rate Hike,HYXF,ESG,Fixed Income,0.019276154166663687,0.23131384999996424,-0.05600603029391147,5,12,41.66666666666667,-1.575,-2.635,-1.991,0.0873,0.0067
Rate Hike,LCTD,ESG,US,-2.467114418749998,-29.605373024999977,-0.4059812110743119,3,12,25.0,-0.013,-0.631,-0.052,0.0001,0.9504
Rate Hike,LDEM,ESG,Emerging,-0.5472804499999987,-6.567365399999984,-0.904340418821798,3,12,25.0,0.17,-0.538,0.188,0.0056,0.5376
Rate Hike,PABU,ESG,Developed exUS,32.99599869500003,329.9599869500003,5.161770692248394,1,10,10.0,-0.497,-1.28,-0.626,0.0974,0.0347
Rate Hike,SUSA,ESG,US,-46.09091496666674,-553.0909796000009,-1.0625407221237382,8,12,66.66666666666666,0.094,0.295,0.78,0.0058,0.4934
Rate Hike,SUSB,ESG,Fixed Income,-2.6319764041666587,-31.583716849999906,-0.24338054168818318,6,12,50.0,1.623,3.578,-0.94,0.0463,0.0507
Rate Hike,SUSC,ESG,Fixed Income,7.401487929166655,88.81785514999986,0.8261186782838268,3,12,25.0,2.05,1.343,5.025,0.0933,0.005
Rate Hike,SUSL,ESG,US,-47.43191729583339,-569.1830075500006,-1.2828597548118545,7,12,58.333333333333336,-0.129,0.101,-0.354,0.0045,0.557
Rate Hike,USXF,ESG,US,13.947695399999981,167.37234479999978,2.626680094487714,4,12,33.33333333333333,-0.67,4.561,0.356,0.0059,0.5384
Rate Hike,ACWI,Conventional,Global,386.07219969999966,4632.866396399996,2.268919492393623,2,12,16.666666666666664,-0.129,-0.849,0.172,0.023,0.1716
Rate Hike,AGG,Conventional,Fixed Income,345.399283100001,4144.791397200012,0.4430193782229251,5,12,41.66666666666667,0.263,0.128,0.418,0.0644,0.0206
Rate Hike,IEFA,Conventional,Developed exUS,268.8499115000038,3226.198938000046,0.26092410161668567,2,12,16.666666666666664,-0.011,0.028,-0.106,0.002,0.6883
Rate Hike,IEMG,Conventional,Emerging,325.9743294000003,3911.691952800003,0.4878015128140168,2,12,16.666666666666664,0.084,0.184,0.054,0.0556,0.0319
Rate Hike,IVV,Conventional,US,1807.8605761166637,21694.326913399964,0.6363389261698972,2,12,16.666666666666664,0.025,0.186,-0.063,0.0057,0.4984
Rebound,CRBN,ESG,Global,-10.46820172083331,-125.61842064999973,-1.1836699151180727,5,12,41.66666666666667,-0.037,0.257,0.265,0.0015,0.7296
Rebound,DMXF,ESG,Developed exUS,7.553134075000008,90.63760890000009,1.6684702537969918,1,12,8.333333333333332,-0.361,2.119,-0.206,0.0073,0.4945
Rebound,DSI,ESG,US,-32.32841822916659,-387.94101874999905,-0.9107747608312495,9,12,75.0,0.011,0.167,0.011,0.0007,0.809
Rebound,EAGG,ESG,Fixed Income,104.20702869999997,1250.4843443999996,3.7937015376115406,0,12,0.0,0.397,2.14,-0.143,0.005,0.5263
