ticker,type,region,first_date,last_date,n_days,n_months,avg_nav,latest_nav,latest_aum_B,peak_aum_B
ACWI,Conventional,Global,2019-01-02,2025-12-31,1760,83,96.3789,141.4547,25.2072,25.444
AGG,Conventional,Fixed Income,2019-01-02,2025-12-31,1760,83,105.6298,99.8925,135.3743,136.2683
CRBN,ESG,Global,2019-01-02,2025-12-31,1760,83,157.6064,230.3174,0.9904,1.3561
DMXF,ESG,Developed exUS,2020-06-16,2025-12-31,1394,66,63.6378,75.4398,0.6488,0.8486
DSI,ESG,US,2019-01-02,2025-12-31,1760,83,82.2658,128.7671,5.0992,5.1735
EAGG,ESG,Fixed Income,2019-01-02,2025-12-31,1760,83,50.6559,47.8428,4.3968,4.4056
EMXF,ESG,Emerging,2020-10-06,2025-12-31,1316,62,38.9713,46.2902,0.1204,0.1233
ERET,ESG,US,2022-11-15,2025-12-31,784,37,25.5965,26.6129,0.0096,0.0104
ESGD,ESG,Developed exUS,2019-01-02,2025-12-31,1760,83,72.939,95.1043,10.8894,10.9439
ESGE,ESG,Emerging,2019-01-02,2025-12-31,1760,83,35.4521,44.3413,5.6047,8.0342
ESGU,ESG,US,2019-01-02,2025-12-31,1760,83,96.3087,148.9569,15.5139,25.8334
EUSB,ESG,Fixed Income,2020-06-23,2025-12-31,1389,66,45.0821,43.8418,0.6927,0.8308
HYXF,ESG,Fixed Income,2019-01-02,2025-12-31,1760,83,47.9602,47.1162,0.1908,0.1908
IEFA,Conventional,Developed exUS,2019-01-02,2025-12-31,1760,83,68.53,89.3077,162.6293,163.4156
IEMG,Conventional,Emerging,2019-01-02,2025-12-31,1760,83,54.0655,67.2266,120.0802,120.0802
IVV,Conventional,US,2019-01-02,2025-12-31,1760,83,435.4882,684.815,760.624,774.9003
LCTD,ESG,US,2021-04-06,2025-12-31,1192,56,44.9554,54.7339,0.2258,0.6239
LDEM,ESG,Emerging,2020-02-05,2025-12-31,1485,70,50.84,58.3328,0.0321,0.9113
PABU,ESG,Developed exUS,2022-02-08,2025-12-31,978,46,54.6874,72.7873,2.2528,2.3128
SUSA,ESG,US,2019-01-02,2025-12-31,1760,83,91.8178,139.3361,3.7621,5.366
SUSB,ESG,Fixed Income,2019-01-02,2025-12-31,1760,83,24.9439,25.2074,1.0638,1.0721
SUSC,ESG,Fixed Income,2019-01-02,2025-12-31,1760,83,24.6393,23.3704,1.3087,1.3126
SUSL,ESG,US,2019-05-07,2025-12-31,1674,79,77.3919,121.1932,1.0301,4.4791
USXF,ESG,US,2020-06-16,2025-12-31,1394,66,39.2177,57.6003,1.2038,1.3865
