date,CRBN,DMXF,DSI,EAGG,EMXF,ERET,ESGD,ESGE,ESGU,EUSB,HYXF,LCTD,LDEM,PABU,SUSA,SUSB,SUSC,SUSL,USXF,ACWI,AGG,IEFA,IEMG,IVV
2019-02-28,114.901141,,52.025524,51.24609,,,62.552175,33.723913,61.163916,,50.495437,,,,58.061405,24.720455,24.30854,,,71.147419,107.074543,60.255209,51.285429,280.244437
2019-03-31,116.444816,,52.754378,52.075747,,,62.953028,33.944093,62.196164,,50.667115,,,,59.153905,24.926797,24.843638,,,72.051565,108.854442,60.619976,51.70854,284.569838
2019-04-30,120.492066,,54.881882,51.942357,,,64.887283,34.650439,64.769119,,51.050944,,,,61.080172,24.963158,24.920848,,,74.493593,108.625119,62.371281,52.687538,296.081275
2019-05-31,113.498118,,51.412889,52.726512,,,61.760529,32.324894,60.557846,,50.296861,,,,56.789713,25.087182,25.212093,,,70.061386,110.275982,59.35957,48.978601,277.257449
2019-06-30,119.718556,,54.687686,53.282133,,,64.248754,33.951349,64.590824,,51.359292,,,,60.938739,25.270098,25.745842,50.353569,,73.711232,111.387592,61.525837,51.435846,294.975852
2019-07-31,120.256557,,55.774522,53.273471,,,63.46337,33.632754,65.58924,,51.56509,,,,62.000962,25.229412,25.826179,51.299587,,73.940053,111.394934,60.800122,50.804306,299.212571
2019-08-31,117.524414,,54.803574,54.506843,,,62.010784,32.029345,64.327341,,51.759316,,,,60.560756,25.43583,26.55264,50.773914,,72.221827,114.009688,59.241156,48.316608,294.463153
2019-09-30,120.049106,,55.438357,54.082214,,,63.974381,32.578722,65.41447,,51.675559,,,,61.787148,25.379115,26.319437,51.42281,,73.734851,113.134455,60.945385,49.244386,298.476144
2019-10-31,123.441126,,56.574382,54.124524,,,66.426768,33.968388,67.000488,,51.812636,,,,62.918008,25.448315,26.414036,52.366771,,75.748983,113.202522,63.212414,51.29821,304.927275
2019-11-30,126.393086,,58.637342,53.976998,,,67.069975,33.962486,69.557048,,51.816216,,,,65.269432,25.398231,26.415631,54.271605,,77.584483,112.887044,64.02528,51.179537,315.98265
2019-12-31,129.45618,,60.103277,53.563122,,,68.697463,35.798412,71.385718,,52.166591,,,,67.05915,25.377759,26.378567,55.571374,,79.361556,112.372681,65.318803,53.688328,323.44418
2020-01-31,128.289304,,60.384513,54.568298,,,67.293169,34.200589,71.78379,,52.114573,,,,67.16835,25.600997,26.996845,56.036985,,78.460947,114.516915,63.881374,51.214142,323.314143
2020-02-29,118.001164,,55.874896,55.414803,,,61.359751,32.472598,65.930148,,51.483708,,,,62.104257,25.737637,27.296948,51.79328,,72.132264,116.310157,58.040754,48.426337,296.689407
2020-03-31,102.135633,,48.763655,55.05785,,,53.292462,27.406026,57.625302,,47.416175,,39.209252,,54.886232,24.771309,25.327499,45.090859,,62.397178,115.321722,49.957942,40.592801,258.444701
2020-04-30,113.034378,,55.025179,55.939831,,,56.572579,29.717704,65.175784,,48.372739,,43.052283,,61.677145,25.39707,26.618656,50.695947,,69.02747,117.150986,53.438426,44.254611,291.579068
2020-05-31,118.112564,,58.000109,56.08418,,,59.028728,29.96802,68.588599,,49.636797,,43.688575,,65.233702,25.710005,26.947747,53.375536,,72.160864,117.445214,56.032093,44.920359,305.460186
2020-06-30,120.743871,,59.07435,56.321474,,,60.483525,32.140648,70.000125,,49.326888,,46.708099,,66.904165,25.921676,27.417738,54.073153,,73.833102,117.972706,57.075521,47.810771,310.250517
2020-07-31,127.087411,52.504482,61.821451,57.08396,,,61.952267,35.196705,74.101647,50.881801,51.401634,,50.967761,,70.924245,26.08232,28.250615,56.299262,26.96112,77.732956,119.506893,58.481033,52.08835,327.738784
2020-08-31,135.130453,55.789003,66.824599,56.553874,,,65.207313,35.928685,79.745163,50.494798,51.529512,,51.819937,,76.588182,26.096503,27.788864,60.548511,29.037899,82.502004,118.335595,61.684109,53.326897,351.289109
