ticker,n_months,beta_all,beta_neg,beta_pos,r2,p_value
CRBN,83,-0.037,0.257,0.265,0.0015,0.7296
DMXF,66,-0.361,2.119,-0.206,0.0073,0.4945
DSI,83,0.011,0.167,0.011,0.0007,0.809
EAGG,83,0.397,2.14,-0.143,0.005,0.5263
EMXF,62,-0.303,0.042,-0.235,0.0119,0.3992
ERET,37,0.0,-0.0,0.0,0.0052,0.6724
ESGD,83,0.024,-0.258,-0.038,0.0007,0.8137
ESGE,83,-0.097,-0.611,0.579,0.0009,0.7861
ESGU,83,0.306,-0.554,-0.98,0.0018,0.7048
EUSB,66,-1.098,6.083,-2.859,0.0061,0.5341
HYXF,83,-1.575,-2.635,-1.991,0.0873,0.0067
LCTD,56,-0.013,-0.631,-0.052,0.0001,0.9504
LDEM,70,0.17,-0.538,0.188,0.0056,0.5376
PABU,46,-0.497,-1.28,-0.626,0.0974,0.0347
SUSA,83,0.094,0.295,0.78,0.0058,0.4934
SUSB,83,1.623,3.578,-0.94,0.0463,0.0507
SUSC,83,2.05,1.343,5.025,0.0933,0.005
SUSL,79,-0.129,0.101,-0.354,0.0045,0.557
USXF,66,-0.67,4.561,0.356,0.0059,0.5384
