ticker,type,region,n_months,beta_all,beta_negative,beta_positive,r_squared,p_value
CRBN,ESG,Global,83,-0.037,0.257,0.265,0.0015,0.7296
DMXF,ESG,Developed exUS,66,-0.361,2.119,-0.206,0.0073,0.4945
DSI,ESG,US,83,0.011,0.167,0.011,0.0007,0.809
EAGG,ESG,Fixed Income,83,0.397,2.14,-0.143,0.005,0.5263
EMXF,ESG,Emerging,62,-0.303,0.042,-0.235,0.0119,0.3992
ERET,ESG,US,37,0.0,-0.0,0.0,0.0052,0.6724
ESGD,ESG,Developed exUS,83,0.024,-0.258,-0.038,0.0007,0.8137
ESGE,ESG,Emerging,83,-0.097,-0.611,0.579,0.0009,0.7861
ESGU,ESG,US,83,0.306,-0.554,-0.98,0.0018,0.7048
EUSB,ESG,Fixed Income,66,-1.098,6.083,-2.859,0.0061,0.5341
HYXF,ESG,Fixed Income,83,-1.575,-2.635,-1.991,0.0873,0.0067
LCTD,ESG,US,56,-0.013,-0.631,-0.052,0.0001,0.9504
LDEM,ESG,Emerging,70,0.17,-0.538,0.188,0.0056,0.5376
PABU,ESG,Developed exUS,46,-0.497,-1.28,-0.626,0.0974,0.0347
SUSA,ESG,US,83,0.094,0.295,0.78,0.0058,0.4934
SUSB,ESG,Fixed Income,83,1.623,3.578,-0.94,0.0463,0.0507
SUSC,ESG,Fixed Income,83,2.05,1.343,5.025,0.0933,0.005
SUSL,ESG,US,79,-0.129,0.101,-0.354,0.0045,0.557
USXF,ESG,US,66,-0.67,4.561,0.356,0.0059,0.5384
ACWI,Conventional,Global,83,-0.129,-0.849,0.172,0.023,0.1716
AGG,Conventional,Fixed Income,83,0.263,0.128,0.418,0.0644,0.0206
IEFA,Conventional,Developed exUS,83,-0.011,0.028,-0.106,0.002,0.6883
IEMG,Conventional,Emerging,83,0.084,0.184,0.054,0.0556,0.0319
IVV,Conventional,US,83,0.025,0.186,-0.063,0.0057,0.4984
