,period,ticker,type,avg_monthly_flow_M,total_flow_M,avg_ogr_pct,outflow_months,total_months,outflow_rate_pct
0,Pre-COVID,ESGU,ESG,262.9981797192308,3418.97633635,38.85636066005193,0,14,0.0
1,Pre-COVID,IVV,Conventional,1830.5449249346173,23797.084024150023,1.0214296295726741,3,14,21.428571428571427
2,COVID Crisis,ESGU,ESG,733.6699805150004,7336.699805150003,13.819631046777664,1,10,10.0
3,COVID Crisis,IVV,Conventional,-308.15100234500125,-3081.5100234500123,-0.1619205053542903,4,10,40.0
4,Recovery,ESGU,ESG,681.8752235791669,8182.502682950003,3.7751070063060173,3,12,25.0
5,Recovery,IVV,Conventional,2390.4822119624964,28685.78654354996,0.8781798191755686,3,12,25.0
6,Rate Hike,ESGU,ESG,-39.38749864583429,-472.6499837500115,-0.3105745956269278,5,12,41.66666666666667
7,Rate Hike,IVV,Conventional,1807.8605761166637,21694.326913399964,0.6363389261698972,2,12,16.666666666666664
8,Rebound,ESGU,ESG,-795.5533890583331,-9546.640668699996,-4.552282627939816,10,12,83.33333333333334
9,Rebound,IVV,Conventional,3175.26030615418,38103.12367385016,0.911030228506432,4,12,33.33333333333333
10,Anti-ESG,ESGU,ESG,-109.05789659791677,-2617.389518350002,-0.8126119057324674,17,24,70.83333333333334
11,Anti-ESG,IVV,Conventional,6899.774362233345,165594.58469360028,1.2027431360167158,5,24,20.833333333333336
