,period,ticker,region,type,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
0,Pre-COVID,AGG,Fixed Income,Conventional,0.8234518264864901,10.341464587200644,1.1793543048770032,0.6982225978073393,5,38.46153846153847,-0.60896327729073,13
1,Pre-COVID,BGRN,Fixed Income,ESG,0.8455861550767739,10.63250227744339,1.6227382813053193,0.5210859722842,4,30.76923076923077,-2.0754746811503,13
2,Pre-COVID,BNDW,Fixed Income,Conventional,0.7726343232077822,9.6759337501501,1.3621213690603315,0.5672286925068866,6,46.15384615384615,-1.48544771572441,13
3,Pre-COVID,DSI,US,ESG,1.0073976898452897,12.781583341613922,4.005982677607025,0.2514733015388521,3,23.076923076923077,-7.43624393411879,13
4,Pre-COVID,EAGG,Fixed Income,ESG,0.8234282960593416,10.341155566422655,1.2180390851503675,0.6760278106820268,4,30.76923076923077,-0.6286451327248399,13
5,Pre-COVID,EEM,Emerging,Conventional,-0.179464262955316,-2.1324409069414463,3.994521121877317,-0.04492760395543301,7,53.84615384615385,-7.32982797050922,13
6,Pre-COVID,EFA,Developed exUS,Conventional,0.25426556064081923,3.094220096186606,3.5006258080561325,0.07263431585737257,4,30.76923076923077,-7.76526813490614,13
7,Pre-COVID,EMSG,Emerging,ESG,-0.07287204365995396,-0.8709682024925613,3.785253093794623,-0.019251564387971095,6,46.15384615384615,-7.65015637155812,13
8,Pre-COVID,ESGD,Developed exUS,ESG,0.3856408521343152,4.727117439195894,3.4507964555457904,0.11175415794650827,4,30.76923076923077,-7.1631444445743595,13
9,Pre-COVID,ESGE,Emerging,ESG,-0.05462625666881685,-0.6535492033344248,3.740574527789881,-0.014603707602396782,6,46.15384615384615,-6.52299960152621,13
10,Pre-COVID,ESGU,US,ESG,1.0363250165167879,13.169786208089285,4.197795980129262,0.24687360258153287,3,23.076923076923077,-7.98276329876737,13
11,Pre-COVID,ESGV,US,ESG,1.0747578293779423,13.687446878743238,4.084633338404018,0.26312222917856337,3,23.076923076923077,-7.62459349490652,13
12,Pre-COVID,IVV,US,Conventional,0.9108502355127368,11.494741415971998,4.15825585969573,0.21904622184056416,3,23.076923076923077,-8.455008115913131,13
13,Pre-COVID,JUST,US,ESG,0.91423314387596,11.539602325666065,4.306315954101937,0.21230052639428762,3,23.076923076923077,-8.78734374952707,13
14,Pre-COVID,NULC,US,ESG,0.3866380521479136,4.739602044127222,3.736893732470454,0.10346509155140139,2,25.0,-8.30921152445053,8
15,Pre-COVID,SPY,US,Conventional,0.9430843283464829,11.922872105020144,4.098341047391423,0.23011367708081598,3,23.076923076923077,-7.9165968214954505,13
16,Pre-COVID,SUSA,US,ESG,1.0787771355817386,13.741709045383853,4.28092994515649,0.2519959797058309,3,23.076923076923077,-7.40163423569896,13
17,Pre-COVID,SUSL,US,ESG,1.2140942439446252,15.582455330907052,3.8359663944434454,0.3165028363395702,2,22.22222222222222,-7.43613080348765,9
18,Pre-COVID,VEA,Developed exUS,Conventional,0.23189259430316375,2.818477860355273,3.6667376049330715,0.06324221127554516,5,38.46153846153847,-7.650919730283561,13
19,Pre-COVID,VSGX,Developed exUS,ESG,0.3318647986768398,4.05587631462756,3.447573571542491,0.09626039641798247,5,38.46153846153847,-6.14762270609452,13
20,Pre-COVID,VTI,US,Conventional,0.8664382320628241,10.907323562774906,4.178911750367262,0.20733585292550807,3,23.076923076923077,-7.99903451555764,13
21,Pre-COVID,VWO,Emerging,Conventional,0.0935499892205785,1.1283939766018047,3.834938686936995,0.024394129048070347,7,53.84615384615385,-6.3809970238387,13
22,COVID Crisis,AGG,Fixed Income,Conventional,0.36023014198290604,4.4094438876482345,0.8844206209632777,0.4073063579075722,5,50.0,-0.80820073205267,10
23,COVID Crisis,BGRN,Fixed Income,ESG,0.36420689523694094,4.45910113892205,1.686202293095741,0.21599240893468624,2,20.0,-3.80602100891661,10
24,COVID Crisis,BNDW,Fixed Income,Conventional,0.29224895247871696,3.563910432840567,1.0072922870830436,0.29013321776246587,3,30.0,-1.71068271675445,10
25,COVID Crisis,DSI,US,ESG,2.8959686567323004,40.85761134308035,7.746492771403886,0.3738425558754466,3,30.0,-12.87349240679981,10
26,COVID Crisis,EAGG,Fixed Income,ESG,0.342679723695354,4.1905522419867225,0.7885834018305735,0.43455102263105766,4,40.0,-0.85102401902698,10
27,COVID Crisis,EEM,Emerging,Conventional,2.7737122656439785,38.862355018996396,7.287795870811648,0.380596865611038,2,20.0,-15.769986050149571,10
28,COVID Crisis,EFA,Developed exUS,Conventional,1.998531910166302,26.802276567998984,7.429838612500289,0.26898725724726824,3,30.0,-14.10667435774081,10
29,COVID Crisis,EMSG,Emerging,ESG,3.006022239190091,42.67615510906422,7.125105406747137,0.4218916166971411,2,20.0,-14.88084485347631,10
30,COVID Crisis,ESGD,Developed exUS,ESG,2.0011484411309075,26.841315823773492,7.5795625032053575,0.2640189905795529,3,30.0,-14.368558877696868,10
31,COVID Crisis,ESGE,Emerging,ESG,2.8892679731385513,40.74757737542569,7.511359397560042,0.38465313936077783,2,20.0,-16.120160478982807,10
32,COVID Crisis,ESGU,US,ESG,3.0872592147162434,44.032307372957824,7.912456889175215,0.39017706610696684,3,30.0,-12.95986522804548,10
33,COVID Crisis,ESGV,US,ESG,3.326701301896122,48.098540108675515,7.786514309969244,0.42723883492217735,3,30.0,-12.71442224912974,10
34,COVID Crisis,IVV,US,Conventional,2.8251642430600623,39.698885887284185,7.642192836395706,0.3696797900211711,3,30.0,-12.67616349593696,10
35,COVID Crisis,JUST,US,ESG,2.902501612014364,40.96496690565596,7.509355404574178,0.3865180772035855,3,30.0,-12.3192808947006,10
36,COVID Crisis,NULC,US,ESG,2.7780013962916987,38.931913916854114,7.8439130483456205,0.35416014674941027,3,30.0,-12.67979128092179,10
37,COVID Crisis,SPY,US,Conventional,2.7700412253275184,38.80284534601191,7.708341328098261,0.35935632679241003,3,30.0,-12.99872696154328,10
38,COVID Crisis,SUSA,US,ESG,3.1949532596549117,45.848344577608266,7.31398730056825,0.4368278379983903,3,30.0,-11.81714633766052,10
39,COVID Crisis,SUSL,US,ESG,2.6657788453143363,37.12242144697877,7.698911452221345,0.3462539947183295,3,30.0,-13.174103323028092,10
40,COVID Crisis,VEA,Developed exUS,Conventional,2.2491032260196606,30.591254145889636,7.920214049134149,0.28397000536437983,3,30.0,-15.53076060490674,10
41,COVID Crisis,VSGX,Developed exUS,ESG,2.374167705607544,32.52097058857755,7.316652998217524,0.324488219707281,3,30.0,-15.50307410267881,10
42,COVID Crisis,VTI,US,Conventional,3.052139730800656,43.444587048562575,8.138932322354727,0.37500492815470693,3,30.0,-14.31134915247306,10
43,COVID Crisis,VWO,Emerging,Conventional,2.599216852824356,36.05939937039304,7.752877255908294,0.33525835209677174,2,20.0,-17.20136414589103,10
44,Recovery,AGG,Fixed Income,Conventional,-0.14206756584489086,-1.6915527636945704,0.8437790129349124,-0.16837058479416067,7,58.333333333333336,-1.6793032865725401,12
45,Recovery,BGRN,Fixed Income,ESG,-0.2948564285975208,-3.481456780372194,1.028739166667025,-0.28661923075488177,9,75.0,-1.82437201857754,12
46,Recovery,BNDW,Fixed Income,Conventional,-0.27064915326999417,-3.1998777151839852,0.9575073049834212,-0.28266014458728367,7,58.333333333333336,-1.85092109194953,12
47,Recovery,DSI,US,ESG,2.359263424631712,32.289636955487566,3.6906540559872374,0.6392534734607134,3,25.0,-5.01141057372467,12
48,Recovery,EAGG,Fixed Income,ESG,-0.09188275446798085,-1.0970380733344665,0.7787626326075845,-0.11798557175287609,5,41.66666666666667,-1.63877998296347,12
49,Recovery,EEM,Emerging,Conventional,-0.3051507310287441,-3.6009724255308573,2.924227367500042,-0.10435260076565839,4,33.33333333333333,-6.02731716311375,12
50,Recovery,EFA,Developed exUS,Conventional,0.8609063966625357,10.834355462508283,2.7450603487878333,0.31362020767328325,3,25.0,-4.53474097797121,12
51,Recovery,EMSG,Emerging,ESG,-0.16532115042138174,-1.9659143265741141,3.850818944849974,-0.04293142648071774,5,41.66666666666667,-6.87235748093334,12
52,Recovery,ESGD,Developed exUS,ESG,0.9242940664718415,11.673118498521195,2.8989105945820786,0.3188418670790682,4,33.33333333333333,-4.8425061724773695,12
53,Recovery,ESGE,Emerging,ESG,-0.30094436292677246,-3.5521533852499565,3.016816253483529,-0.0997556157353869,5,41.66666666666667,-5.99627457185034,12
54,Recovery,ESGU,US,ESG,2.056884156221149,27.675527207038854,3.228871416333999,0.6370288224597365,3,25.0,-5.07133895440541,12
55,Recovery,ESGV,US,ESG,2.034771025621368,27.343954065499364,3.3104819952675295,0.614644945518555,4,33.33333333333333,-5.20955187661077,12
56,Recovery,IVV,US,Conventional,2.1885689553857004,29.66650592273623,3.2996058973118587,0.6632819262350985,3,25.0,-5.04507658492128,12
57,Recovery,JUST,US,ESG,2.053984244498821,27.631999728732648,3.151951104159551,0.6516548565072057,3,25.0,-4.939466328994159,12
58,Recovery,NULC,US,ESG,1.8080185043408474,23.98918860107635,3.4523426793673764,0.523707717413544,3,25.0,-4.72377175173347,12
59,Recovery,SPY,US,Conventional,2.182128008945487,29.56846534190367,3.2831618750898857,0.6646422235533985,3,25.0,-4.965000239810831,12
60,Recovery,SUSA,US,ESG,2.2998113114758674,31.370542108477338,3.4925743305392354,0.658486003108426,3,25.0,-5.44935291062612,12
61,Recovery,SUSL,US,ESG,2.3821373262409034,32.64482146279568,3.725990975105701,0.6393298701356424,3,25.0,-5.2222140283333305,12
62,Recovery,VEA,Developed exUS,Conventional,0.906044984353784,11.431047182211728,2.8496606844202126,0.3179483751547516,3,25.0,-4.643130143447291,12
63,Recovery,VSGX,Developed exUS,ESG,0.569991639873435,7.058454183930141,2.5140850724717407,0.22671931276893653,4,33.33333333333333,-4.16020438639299,12
